email,password,org,roles
maui@mythos.world,password,maui,nlpUser|botUser|admin|technicalAdmin
pele@mythos.world,password,pele,nlpUser|botUser|admin|technicalAdmin
quetzalcoatl@mythos.world,password,quetzalcoatl,nlpUser|botUser|admin|technicalAdmin
kukulkan@mythos.world,password,kukulkan,nlpUser|botUser|admin|technicalAdmin
popocatepetl@mythos.world,password,popocatepetl,nlpUser|botUser|admin|technicalAdmin
llorona@mythos.world,password,llorona,nlpUser|botUser|admin|technicalAdmin
elcid@mythos.world,password,elcid,nlpUser|botUser|admin|technicalAdmin
quichotte@mythos.world,password,quichotte,nlpUser|botUser|admin|technicalAdmin
sancho@mythos.world,password,sancho,nlpUser|botUser|admin|technicalAdmin
faust@mythos.world,password,faust,nlpUser|botUser|admin|technicalAdmin
mephisto@mythos.world,password,mephisto,nlpUser|botUser|admin|technicalAdmin
dracula@mythos.world,password,dracula,nlpUser|botUser|admin|technicalAdmin
frankenstein@mythos.world,password,frankenstein,nlpUser|botUser|admin|technicalAdmin
golem@mythos.world,password,golem,nlpUser|botUser|admin|technicalAdmin
oberon@mythos.world,password,oberon,nlpUser|botUser|admin|technicalAdmin
titania@mythos.world,password,titania,nlpUser|botUser|admin|technicalAdmin
leprechaun@mythos.world,password,leprechaun,nlpUser|botUser|admin|technicalAdmin
kraken@mythos.world,password,kraken,nlpUser|botUser|admin|technicalAdmin
minotaure@mythos.world,password,minotaure,nlpUser|botUser|admin|technicalAdmin
ariane@mythos.world,password,ariane,nlpUser|botUser|admin|technicalAdmin
thesee@mythos.world,password,thesee,nlpUser|botUser|admin|technicalAdmin
jason@mythos.world,password,jason,nlpUser|botUser|admin|technicalAdmin
medee@mythos.world,password,medee,nlpUser|botUser|admin|technicalAdmin
